time,velocity
6.40936,4.816971
6.43247,4.904759
6.45404,4.940457
6.4775,4.93338
6.50024,4.930577
6.521,4.92102
6.54321,4.902825
6.5661,4.916791
6.58803,4.867589
6.61054,4.81718
6.63352,4.6823
6.65572,4.525149
6.67799,4.369124
6.70019,4.165951
6.72204,4.077084
6.74501,3.828009
6.76761,3.66742
6.78913,3.472556
6.81265,3.30374
6.8346,3.17213
6.85703,3.087386
6.87917,2.988614
6.90209,2.906903
6.92288,2.856356
6.94612,2.906275
6.97009,2.983205
6.99094,2.993091
7.01392,3.062157
7.03608,3.064466
7.05774,3.104543
7.08123,3.10789
7.10237,3.119712
7.12457,3.176793
7.14721,3.167204
7.16985,3.116695
7.19176,3.07461
7.21422,3.050133
7.23619,3.09036
7.25837,3.215732
7.28162,3.354475
7.30312,3.407936
7.32529,3.442117
7.34757,3.410189
7.37036,3.325258
7.39324,3.211576
7.41542,3.0638
7.43776,2.890574
7.45988,2.699974
7.48279,2.497171
7.50496,2.289029
7.52685,2.08004
7.5498,1.924589
7.57129,1.814843
7.59389,1.743841
7.61665,1.733438
7.63844,1.768466
7.66051,1.829186
7.68445,1.896245
7.70584,2.082158
7.72795,2.289009
7.75024,2.555265
7.77219,2.788546
7.79502,3.030045
7.8182,3.235254
7.83888,3.344269
7.86119,3.42385
7.88434,3.442552
7.90641,3.397221
7.92869,3.350799
7.95155,3.253576
7.97476,3.167669
7.9955,3.041672
8.01784,2.88619
8.04037,2.70953
8.06316,2.518098
8.08501,2.369539
8.10784,2.24675
8.12905,2.245784
8.15334,2.256315
8.17466,2.237533
8.19676,2.260519
8.2201,2.326536
8.24376,2.392589
8.26393,2.404038
8.28772,2.429058
8.30907,2.463213
8.33183,2.511317
8.35311,2.506154
8.37583,2.508686
8.39776,2.568925
8.421,2.622581
8.44247,2.682851
8.46632,2.871855
8.48708,3.030378
8.50922,3.304459
8.53206,3.530406
8.55445,3.767285
8.57657,3.943151
8.60007,4.092244
8.6216,4.129047
8.64349,4.187215
8.66642,4.214119
8.68867,4.224443
8.71066,4.271193
8.73339,4.276993
8.75508,4.27426
8.77766,4.295194
8.79994,4.316328
8.82221,4.257587
8.84474,4.202804
8.86716,4.170262
8.88959,4.154471
8.91136,4.128794
8.93419,4.135375
8.95598,4.128114
8.97857,4.098182
9.00132,4.051127
9.02341,3.992541
9.04573,3.874938
9.06868,3.762304
9.09053,3.616511
9.11317,3.486348
9.13489,3.370375
9.15821,3.344924
9.17968,3.390824
9.20297,3.531334
9.22445,3.64374
9.24762,3.809205
9.26916,3.949839
9.29243,3.994542
9.31516,4.062065
9.33794,4.046134
9.3585,4.013618
9.38208,3.968277
9.40347,3.963385
9.42589,4.003315
9.44877,4.016072
9.47114,4.068587
9.49265,4.089604
9.51496,4.085582
9.53731,4.071311
9.55913,3.987091
9.58258,3.950365
9.60531,3.901267
9.62642,3.84881
9.65001,3.844742
9.67104,3.82395
9.69328,3.790707
9.71676,3.780594
9.73826,3.835921
9.7613,3.864352
9.7839,3.932708
9.805,3.969822
9.82813,4.008505
9.85044,4.055895
9.87193,4.074616
9.89486,4.069779
9.91692,4.084127
9.93909,4.048219
9.96151,3.948047
9.9845,3.848327
10.00659,3.750046
10.02897,3.654606
10.05063,3.563198
10.07264,3.477381
10.09562,3.408058
10.11865,3.343081
10.13971,3.282533
10.16222,3.186436
10.1865,3.104191
10.20731,3.009872
10.22992,2.956307
10.25224,2.860992
10.27812,2.733691
10.29667,2.675143
10.3186,2.590283
10.341,2.476023
10.3642,2.39084
10.38633,2.341179
10.40871,2.360757
10.43089,2.39646
10.45306,2.433379
10.47508,2.430951
10.49833,2.487194
10.52001,2.488309
10.54223,2.495594
10.56527,2.459188
10.58746,2.474527
10.60978,2.4676
10.63348,2.453458
10.65423,2.427651
10.67658,2.429172
10.69909,2.412247
10.72233,2.330696
10.74358,2.287759
10.76769,2.247625
10.78843,2.224697
10.81076,2.206439
10.83305,2.153089
10.8552,2.122158
10.87797,2.069968
10.90046,2.01303
10.92225,1.931551
10.94428,1.910381
10.96741,1.824139
10.98954,1.741235
11.0113,1.694355
11.03476,1.626608
11.05649,1.543157
11.07897,1.44846
11.10038,1.346309
11.12277,1.290781
11.14584,1.223126
11.16843,1.14759
11.19012,1.066246
11.21332,0.9816346
11.23471,0.9467266
11.25721,0.929415
11.27922,0.9232257
11.30215,0.9521219
11.32572,1.009691
11.34799,1.088725
11.37226,1.235613
11.39138,1.383606
11.4146,1.478408
11.43565,1.539258
11.45872,1.612398
11.48104,1.643309
11.50337,1.638715
11.52545,1.606214
11.54801,1.551678
11.5712,1.480227
11.59217,1.446507
11.61501,1.393782
11.6384,1.327341
11.65978,1.250215
11.68207,1.216682
11.70412,1.168141
11.72685,1.135174
11.74919,1.113454
11.77155,1.127221
11.79326,1.17865
11.81748,1.250714
11.83798,1.34785
11.86061,1.503612
11.88342,1.60354
